n,Row,Column,Field,Mean/s.d.,%SatPix,MaxCountRatio,Area,Circ.,AR,Solidity,Round,Mean-Cy3,IntDen-Cy3,Mean-FITC,IntDen-FITC,Mean-TL-Brightfield,IntDen-TL-Brightfield
164,B,04,002,0.7877,0.0001907,0.6174,111.5737,0.9444,1.4256,0.9969,0.7015,1213.4773,135392.18,278.2012,31039.9467,1991.6982,222221.179
165,B,04,002,0.7877,0.0001907,0.6174,66.5335,0.8954,1.6671,1.0052,0.5998,198.6255,13215.2572,268.5802,17869.5927,1858.6461,123662.291
166,B,04,002,0.7877,0.0001907,0.6174,99.6634,0.9068,1.4766,1,0.6772,371.2995,37004.9654,280.4176,27947.3695,1967.2404,196061.864
167,B,04,002,0.7877,0.0001907,0.6174,64.8907,0.8209,2.0024,0.9968,0.4994,1083.7911,70327.998,304.1899,19739.1029,1764.1371,114476.146
168,B,04,002,0.7877,0.0001907,0.6174,83.3723,0.8928,1.5803,0.9902,0.6328,202.9934,16924.0225,279.8719,23333.5565,1887.8785,157396.709
169,B,04,002,0.7877,0.0001907,0.6174,124.853,0.9438,1.2751,0.9967,0.7842,1176.5702,146898.375,267.8629,33443.5048,1910.7522,238563.239
170,B,04,002,0.7877,0.0001907,0.6174,115.5438,0.9041,1.4835,0.9918,0.6741,877.3922,101377.254,273.5675,31609.0411,1824.7725,210841.207
171,B,04,002,0.7877,0.0001907,0.6174,116.639,0.9594,1.3267,0.9982,0.7538,212.2852,24760.7418,287.0505,33481.2893,1909.6819,222743.454
172,B,04,002,0.7877,0.0001907,0.6174,131.5612,0.8901,1.6708,0.9979,0.5985,198.539,26120.0246,271.1093,35667.4497,1858.0604,244448.581
173,B,04,002,0.7877,0.0001907,0.6174,104.5918,0.7958,2.0974,0.9833,0.4768,201.2199,21045.9529,265.7801,27798.422,1856.8547,194211.794
174,B,04,002,0.7877,0.0001907,0.6174,92.6815,0.8955,1.4617,1,0.6841,206.003,19092.6598,287.3368,26630.7996,1957.6721,181439.956
175,B,04,002,0.7877,0.0001907,0.6174,87.7531,0.9439,1.397,1.0016,0.7158,191.17,16775.7596,250.0686,21944.2925,1824.4181,160098.299
176,B,04,002,0.7877,0.0001907,0.6174,95.9671,0.9031,1.4956,0.9887,0.6686,212.6591,20408.2714,272.3866,26140.149,1825.02,175141.859
177,B,04,002,0.7877,0.0001907,0.6174,91.7232,0.954,1.3381,0.9824,0.7473,206.6269,18952.4739,276.7955,25388.5665,1866.7806,171227.059
178,B,04,002,0.7877,0.0001907,0.6174,123.484,0.8908,1.4837,0.9847,0.674,1158.4568,143050.929,279.4224,34504.2081,1912.8603,236207.732
179,B,04,002,0.7877,0.0001907,0.6174,131.4243,0.8538,1.6829,0.9806,0.5942,824.1854,108317.961,268.2437,35253.7371,1850.4208,243190.194
180,B,04,002,0.7877,0.0001907,0.6174,143.4715,0.8648,1.6984,0.985,0.5888,754.7605,108286.611,275.7252,39558.7031,1854.0611,266004.898
181,B,04,002,0.7877,0.0001907,0.6174,95.8302,0.9307,1.3417,0.9797,0.7453,375.95,36027.3606,263.44,25245.5057,1946.0414,186489.523
182,B,04,002,0.7877,0.0001907,0.6174,75.1583,0.9259,1.5026,0.9883,0.6655,204.9909,15406.7568,284.0856,21351.3774,1868.1275,140405.195
183,B,04,002,0.7877,0.0001907,0.6174,78.8546,0.9305,1.371,0.9838,0.7294,207.4774,16360.541,271.8194,21434.2021,1869.441,147413.941
184,B,04,002,0.7877,0.0001907,0.6174,118.008,0.9221,1.2738,0.9702,0.7851,1061.761,125296.333,276.4246,32620.3234,1940.4606,228989.939
185,B,04,002,0.7877,0.0001907,0.6174,139.5014,0.769,1.7852,0.9709,0.5602,1013.264,141351.723,276.3984,38557.9621,1859.6467,259423.281
186,B,04,002,0.7877,0.0001907,0.6174,78.8546,0.9543,1.1901,1,0.8403,210.724,16616.5445,278.7865,21983.5829,1878.3021,148112.68
187,B,04,002,0.7877,0.0001907,0.6174,108.8357,0.9402,1.4672,0.9864,0.6816,201.322,21911.0257,272.4126,29648.2185,1852.4566,201613.444
188,B,04,002,0.7877,0.0001907,0.6174,113.6272,0.8728,1.7772,0.9828,0.5627,340.9205,38737.8491,264.7434,30082.0555,1843.0398,209419.498
189,B,04,002,0.7877,0.0001907,0.6174,80.2236,0.9205,1.3758,0.9966,0.7268,203.1826,16300.0311,273.5529,21945.3877,1900.8669,152494.31
190,B,04,002,0.7877,0.0001907,0.6174,45.314,0.935,1.293,0.9807,0.7734,205.8097,9326.0574,270.8036,12271.1929,1772.7795,80331.7117
191,B,04,002,0.7877,0.0001907,0.6174,65.1645,0.8101,2.07,0.9865,0.4831,929.0735,60542.6402,312.4517,20360.767,1770.9412,115402.55
192,B,04,002,0.7877,0.0001907,0.6174,106.0977,0.9323,1.4837,0.9873,0.674,202.9303,21530.443,265.7897,28199.6767,1908.5961,202497.683
193,B,04,002,0.7877,0.0001907,0.6174,85.6996,0.9375,1.3307,0.9937,0.7515,204.3626,17513.7889,273.5479,23442.9398,1978.8339,169585.214
194,B,04,002,0.7877,0.0001907,0.6174,87.2055,0.8617,1.8185,0.9868,0.5499,236.5636,20629.6392,261.6248,22815.1151,1929.438,168257.555
195,B,04,002,0.7877,0.0001907,0.6174,152.6438,0.9711,1.1757,0.9978,0.8505,202.0933,30848.2863,265.7516,40565.3308,1867.3919,285045.81
196,B,04,002,0.7877,0.0001907,0.6174,105.1394,0.7117,2.1575,0.9666,0.4635,2001.1354,210398.198,288.1237,30293.1557,1874.7839,197113.669
197,B,04,002,0.7877,0.0001907,0.6174,95.9671,0.9702,1.2612,1.0123,0.7929,404.6805,38836.0066,277.5621,26636.8232,1968,188863.237
198,B,04,002,0.7877,0.0001907,0.6174,129.7815,0.7903,2.0409,1.0011,0.49,208.4884,27057.9284,277.7816,36050.9074,1811.1593,235054.895
199,B,04,002,0.7877,0.0001907,0.6174,96.7885,0.9166,1.5535,0.9986,0.6437,199.4752,19306.9087,267.3366,25875.1101,1840.9873,178186.385
200,B,04,002,0.7877,0.0001907,0.6174,140.049,0.8799,1.6864,0.978,0.593,1311.8152,183718.388,270.9228,37942.4585,1877.3558,262921.767
